month,country,age_group,share_of_messages
2024-07-01,MX,65+,0.005
2024-07-01,MY,18-24,0.349
2024-07-01,MY,25-34,0.392
2024-07-01,MY,35-44,0.190
2024-07-01,MY,45-54,0.054
2024-07-01,MY,55-64,0.009
2024-07-01,MY,65+,0.006
2024-07-01,NG,18-24,0.256
2024-07-01,NG,25-34,0.504
2024-07-01,NG,35-44,0.151
2024-07-01,NG,45-54,0.045
2024-07-01,NG,55-64,0.021
2024-07-01,NG,65+,0.023
2024-07-01,NL,18-24,0.184
2024-07-01,NL,25-34,0.481
2024-07-01,NL,35-44,0.201
2024-07-01,NL,45-54,0.083
2024-07-01,NL,55-64,0.039
2024-07-01,NL,65+,0.013
2024-07-01,NO,18-24,0.131
2024-07-01,NO,25-34,0.376
2024-07-01,NO,35-44,0.259
2024-07-01,NO,45-54,0.109
2024-07-01,NO,55-64,0.085
2024-07-01,NO,65+,0.040
2024-07-01,NP,18-24,0.514
2024-07-01,NP,25-34,0.391
2024-07-01,NP,35-44,0.066
2024-07-01,NP,45-54,0.029
2024-07-01,NP,55-64,0.000
2024-07-01,NP,65+,0.000
2024-07-01,NZ,18-24,0.265
2024-07-01,NZ,25-34,0.233
2024-07-01,NZ,35-44,0.319
2024-07-01,NZ,45-54,0.123
2024-07-01,NZ,55-64,0.059
2024-07-01,NZ,65+,0.001
2024-07-01,PA,18-24,0.411
2024-07-01,PA,25-34,0.423
2024-07-01,PA,35-44,0.070
2024-07-01,PA,45-54,0.096
2024-07-01,PA,55-64,0.000
2024-07-01,PA,65+,0.000
2024-07-01,PE,18-24,0.440
2024-07-01,PE,25-34,0.388
2024-07-01,PE,35-44,0.104
2024-07-01,PE,45-54,0.041
2024-07-01,PE,55-64,0.019
2024-07-01,PE,65+,0.008
2024-07-01,PH,18-24,0.333
2024-07-01,PH,25-34,0.460
2024-07-01,PH,35-44,0.131
2024-07-01,PH,45-54,0.051
2024-07-01,PH,55-64,0.014
2024-07-01,PH,65+,0.010
2024-07-01,PK,18-24,0.389
2024-07-01,PK,25-34,0.471
2024-07-01,PK,35-44,0.091
2024-07-01,PK,45-54,0.033
2024-07-01,PK,55-64,0.010
2024-07-01,PK,65+,0.005
2024-07-01,PL,18-24,0.196
2024-07-01,PL,25-34,0.467
2024-07-01,PL,35-44,0.236
2024-07-01,PL,45-54,0.077
2024-07-01,PL,55-64,0.015
2024-07-01,PL,65+,0.008
2024-07-01,PT,18-24,0.235
2024-07-01,PT,25-34,0.389
2024-07-01,PT,35-44,0.174
2024-07-01,PT,45-54,0.120
2024-07-01,PT,55-64,0.056
2024-07-01,PT,65+,0.026
2024-07-01,RO,18-24,0.234
2024-07-01,RO,25-34,0.402
2024-07-01,RO,35-44,0.225
2024-07-01,RO,45-54,0.085
2024-07-01,RO,55-64,0.022
2024-07-01,RO,65+,0.032
2024-07-01,RS,18-24,0.148
2024-07-01,RS,25-34,0.461
2024-07-01,RS,35-44,0.179
2024-07-01,RS,45-54,0.179
2024-07-01,RS,55-64,0.033
2024-07-01,RS,65+,0.000
2024-07-01,SA,18-24,0.182
2024-07-01,SA,25-34,0.474
2024-07-01,SA,35-44,0.268
2024-07-01,SA,45-54,0.060
2024-07-01,SA,55-64,0.017
2024-07-01,SA,65+,0.000
2024-07-01,SC,18-24,0.071
2024-07-01,SC,25-34,0.312
2024-07-01,SC,35-44,0.235
2024-07-01,SC,45-54,0.175
2024-07-01,SC,55-64,0.187
2024-07-01,SC,65+,0.020
2024-07-01,SE,18-24,0.104
2024-07-01,SE,25-34,0.421
2024-07-01,SE,35-44,0.277
2024-07-01,SE,45-54,0.107
2024-07-01,SE,55-64,0.067
2024-07-01,SE,65+,0.025
2024-07-01,SG,18-24,0.152
2024-07-01,SG,25-34,0.492
2024-07-01,SG,35-44,0.227
2024-07-01,SG,45-54,0.083
2024-07-01,SG,55-64,0.030
2024-07-01,SG,65+,0.016
2024-07-01,SK,18-24,0.291
2024-07-01,SK,25-34,0.388
2024-07-01,SK,35-44,0.231
2024-07-01,SK,45-54,0.078
2024-07-01,SK,55-64,0.005
2024-07-01,SK,65+,0.006
2024-07-01,SO,18-24,0.575
2024-07-01,SO,25-34,0.257
2024-07-01,SO,35-44,0.081
2024-07-01,SO,45-54,0.065
2024-07-01,SO,55-64,0.022
2024-07-01,SO,65+,0.000
2024-07-01,SV,18-24,0.411
2024-07-01,SV,25-34,0.380
2024-07-01,SV,35-44,0.101
2024-07-01,SV,45-54,0.036
2024-07-01,SV,55-64,0.053
2024-07-01,SV,65+,0.019
2024-07-01,TH,18-24,0.282
2024-07-01,TH,25-34,0.370
2024-07-01,TH,35-44,0.206
2024-07-01,TH,45-54,0.098
